Date,PETR4.SA,VALE3.SA,ITUB4.SA,BBDC4.SA,WEGE3.SA,BOVA11.SA,IVVB11.SA,SMAL11.SA,^BVSP,^GSPC
2023-05-30,35.19693558916349,64.84219375760398,26.63901783062268,14.749055714533844,42.05061460240581,117.27555516010115,268.53677615001754,97.59493875347401,116634.95272332933,4412.808212629579
2023-05-31,33.59461554500587,67.3573405629987,26.35625405378262,13.888184425124589,42.921188102679906,122.13669631308478,278.31382883763916,91.98890465701317,118386.94854990671,4366.646931921687
2023-06-01,35.93909381270867,64.54427784403677,25.948529910444293,13.45772533848671,41.88978651526811,120.65610575655424,284.2862188854629,89.3763967972889,118805.62802959097,4342.3039188450575
2023-06-02,36.86706869388877,66.55069536262623,25.0089270118095,14.753000579170182,42.01789451431189,118.1484879910173,295.84625717496084,90.7950345721156,118280.05969724758,4542.293917619811
2023-06-03,35.21828180158373,67.3095604756117,24.734119257235747,14.435766705625573,40.341430373583826,115.88226173176699,288.7973540946408,89.67808678527211,112741.52343407096,4440.966831871221
2023-06-04,33.179193673005194,68.60776997829869,23.855690821476596,14.058132533200984,42.12996183152512,117.16660093359516,278.2715043180913,90.21595208218358,117748.75585689556,4518.676051831811
2023-06-05,33.9333770781076,67.07356916378839,24.575296652189483,14.253570986231217,41.73814501223343,126.65032671339088,283.13826820939187,95.8386839388925,110720.72870582166,4563.1046738660525
2023-06-06,32.48579286045472,67.3983575540859,24.945767894062747,13.869027696677241,41.07788375789284,121.24342183651999,272.12114022531455,94.34626234821323,116776.07659638235,4542.542088837707
2023-06-07,31.81011343753459,68.23737545288836,24.353118212882144,13.785726963491953,41.594611836331474,114.29610262877974,286.3364489446892,95.87467512197045,117456.85846551189,4580.948479808081
2023-06-08,33.43551820575683,65.52007872825915,23.87755062984998,14.046015546659682,41.74634695432266,115.10869219334884,278.41012556518535,94.21662755643145,121325.55643557283,4487.92912134338
2023-06-09,32.84859989863053,66.73190695769881,25.356012704265435,13.382920566946787,38.945599234938456,121.49932992462453,276.89598938298747,94.49320295810823,118352.22175715952,4393.117948870634
